epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5131,1.71848,2.97528,1.50423,0.48159,0.51462,0.4757,0.24022,1.73713,2.62714,1.72437,0.000659176,0.000659176,0.000659176
2,52.8878,1.7811,1.6681,1.59486,0.42099,0.41228,0.34966,0.16479,2.10548,4.3249,1.95492,0.00129959,0.00129959,0.00129959
3,78.5801,1.83734,1.72368,1.64133,0.40691,0.39474,0.34742,0.16377,2.11748,3.76712,2.02394,0.00191361,0.00191361,0.00191361
4,102.5,1.8103,1.65195,1.63513,0.381,0.35673,0.30285,0.13135,2.31435,3.91431,2.15737,0.0018812,0.0018812,0.0018812
5,125.218,1.72955,1.56299,1.57982,0.73945,0.54678,0.61747,0.34043,1.672,1.88821,1.60081,0.0018416,0.0018416,0.0018416
6,149.695,1.61971,1.42752,1.48926,0.64616,0.51259,0.57743,0.31894,1.66903,1.67723,1.60148,0.001802,0.001802,0.001802
7,171.548,1.5819,1.38492,1.48546,0.66767,0.68145,0.71929,0.41727,1.5672,1.37399,1.52633,0.0017624,0.0017624,0.0017624
8,193.983,1.51244,1.27045,1.41583,0.78665,0.65497,0.73451,0.43343,1.46859,1.24006,1.44367,0.0017228,0.0017228,0.0017228
9,216.465,1.44725,1.20355,1.37942,0.78174,0.71216,0.79928,0.47756,1.46067,1.04538,1.40962,0.0016832,0.0016832,0.0016832
10,239.743,1.42326,1.16367,1.36152,0.76124,0.65789,0.72373,0.41429,1.51393,1.17894,1.48862,0.0016436,0.0016436,0.0016436
11,263.029,1.39996,1.10682,1.33938,0.78776,0.73799,0.81038,0.48038,1.4279,1.15006,1.39495,0.001604,0.001604,0.001604
12,297.268,1.34844,1.0789,1.30509,0.76048,0.75146,0.81019,0.49282,1.39078,1.03052,1.399,0.0015644,0.0015644,0.0015644
13,320.465,1.31845,1.03066,1.28528,0.81924,0.7924,0.85189,0.53184,1.31759,0.97202,1.34387,0.0015248,0.0015248,0.0015248
14,343.849,1.32305,1.01388,1.30522,0.85204,0.75146,0.85947,0.54246,1.38133,0.93077,1.36991,0.0014852,0.0014852,0.0014852
15,367.163,1.27657,0.98865,1.27441,0.82472,0.79794,0.87628,0.57294,1.25583,0.86208,1.27803,0.0014456,0.0014456,0.0014456
16,390.039,1.23973,0.94703,1.25093,0.84306,0.75392,0.85694,0.55129,1.27839,0.87671,1.2903,0.001406,0.001406,0.001406
17,413.763,1.23331,0.93901,1.2412,0.86934,0.77819,0.87798,0.56377,1.23833,0.84264,1.27716,0.0013664,0.0013664,0.0013664
18,437.132,1.20206,0.92632,1.22804,0.79874,0.74561,0.82097,0.51504,1.3328,0.88561,1.36698,0.0013268,0.0013268,0.0013268
19,460.145,1.17638,0.87727,1.20386,0.87585,0.76321,0.88101,0.56474,1.27542,0.84835,1.29907,0.0012872,0.0012872,0.0012872
20,484.097,1.17064,0.87383,1.20515,0.85966,0.82391,0.89893,0.57788,1.21448,0.78271,1.26628,0.0012476,0.0012476,0.0012476
21,506.293,1.15729,0.84857,1.19219,0.81416,0.78947,0.85906,0.58097,1.19379,0.83093,1.24981,0.001208,0.001208,0.001208
22,529.72,1.12646,0.83741,1.17539,0.83131,0.81287,0.89813,0.59723,1.19359,0.78383,1.27293,0.0011684,0.0011684,0.0011684
23,566.765,1.1171,0.829,1.1714,0.88466,0.80739,0.89917,0.60625,1.15838,0.7381,1.23769,0.0011288,0.0011288,0.0011288
24,590.993,1.08297,0.79199,1.1506,0.88153,0.82456,0.92543,0.62173,1.13973,0.72799,1.22895,0.0010892,0.0010892,0.0010892
25,613.968,1.07969,0.78225,1.16296,0.83347,0.86342,0.91259,0.60549,1.18789,0.72313,1.25316,0.0010496,0.0010496,0.0010496
26,636.601,1.06117,0.76602,1.1397,0.86053,0.81185,0.89831,0.60137,1.16763,0.75167,1.2442,0.00101,0.00101,0.00101
